iter	MultiClass
0	3.745846672
1	3.522594068
2	3.36379544
3	3.240043773
4	3.131279825
5	3.022791317
6	2.937886022
7	2.865967415
8	2.792350465
9	2.733339147
10	2.67335837
11	2.619340958
12	2.570778725
13	2.526764262
14	2.489031339
15	2.448461721
16	2.411843834
17	2.377939205
18	2.346040214
19	2.317337277
20	2.289899392
21	2.261988167
22	2.238221089
23	2.213183657
24	2.190309635
25	2.168003502
26	2.148116548
27	2.127660461
28	2.106840004
29	2.088201651
30	2.070342601
31	2.05448268
32	2.039426811
33	2.024137566
34	2.009298343
35	1.993388326
36	1.980451028
37	1.964715306
38	1.951362773
39	1.936602537
40	1.924974589
41	1.912966111
42	1.900935287
43	1.888264624
44	1.876338582
45	1.864236717
46	1.85421498
47	1.844288301
48	1.833728102
49	1.82507219
50	1.816563998
51	1.807624183
52	1.799902436
53	1.790439172
54	1.781902006
55	1.773738278
56	1.765707419
57	1.757949431
58	1.750678766
59	1.742397285
60	1.73533495
61	1.727369225
62	1.720525728
63	1.713559877
64	1.707415911
65	1.700807465
66	1.694480168
67	1.688408009
68	1.682315665
69	1.67674303
70	1.670696896
71	1.665863053
72	1.660601239
73	1.654900557
74	1.649486196
75	1.644017936
76	1.638857401
77	1.633339261
78	1.628229975
79	1.622958152
80	1.618233762
81	1.613396248
82	1.609321258
83	1.605408993
84	1.601600715
85	1.597302805
86	1.592938414
87	1.588936009
88	1.585397249
89	1.581616914
90	1.578134024
91	1.574779517
92	1.571494738
93	1.567905406
94	1.56478962
95	1.561386252
96	1.55779769
97	1.553664883
98	1.549959136
99	1.547237402
100	1.544675948
101	1.541958772
102	1.538970692
103	1.535468202
104	1.532511087
105	1.530171731
106	1.526783024
107	1.524026846
108	1.521395444
109	1.519407102
110	1.516987681
111	1.514146147
112	1.511793927
113	1.509686473
114	1.506926357
115	1.504676224
116	1.502092963
117	1.500321019
118	1.498573931
119	1.495792093
120	1.494235553
121	1.491978849
122	1.489424373
123	1.487737692
124	1.486124498
125	1.483992526
126	1.48201154
127	1.480154011
128	1.478312684
129	1.476793425
130	1.475209526
131	1.473576385
132	1.471976165
133	1.470197686
134	1.468535225
135	1.465764886
136	1.463638087
137	1.46158552
138	1.459443829
139	1.457249583
140	1.455808552
141	1.454336725
142	1.452403531
143	1.450599658
144	1.449599901
145	1.447986006
146	1.447072748
147	1.445661189
148	1.444146836
149	1.442780084
150	1.441598887
151	1.440298249
152	1.438854547
153	1.437680679
154	1.436605035
155	1.4354921
156	1.434519235
157	1.43243353
158	1.431215369
159	1.430006576
160	1.428713187
161	1.427293943
162	1.426292747
163	1.424871351
164	1.4238874
165	1.422582459
166	1.42094926
167	1.419871583
168	1.418872284
169	1.418088582
170	1.417247006
171	1.416194506
172	1.414795312
173	1.413886017
174	1.412866141
175	1.411358928
176	1.410493819
177	1.409294263
178	1.408012432
179	1.406957589
180	1.405395559
181	1.404321157
182	1.403627073
183	1.402601231
184	1.40183284
185	1.400345474
186	1.399321043
187	1.397863707
188	1.396451719
189	1.395371169
190	1.394258364
191	1.393566316
192	1.392525216
193	1.391150261
194	1.389935381
195	1.389161884
196	1.388567129
197	1.387501158
198	1.386268563
199	1.38547406
200	1.384267879
201	1.383344649
202	1.382411054
203	1.381336033
204	1.380370794
205	1.379671393
206	1.379118474
207	1.378071152
208	1.377078596
209	1.376061355
210	1.375218171
211	1.374630965
212	1.374201038
213	1.373596344
214	1.372767549
215	1.372048819
216	1.371484237
217	1.370685358
218	1.369645219
219	1.369161576
220	1.368111507
221	1.367169596
222	1.3663083
223	1.365250397
224	1.364536633
225	1.363593939
226	1.362988474
227	1.362022952
228	1.360687974
229	1.360021381
230	1.359091007
231	1.358568161
232	1.358176307
233	1.357445177
234	1.356567329
235	1.355796473
236	1.355257852
237	1.354579325
238	1.353658555
239	1.353154047
240	1.352357883
241	1.351829418
242	1.350975921
243	1.350410302
244	1.349777672
245	1.349243567
246	1.348795854
247	1.348087432
248	1.347382591
249	1.346435685
250	1.345734547
251	1.344798195
252	1.344019374
253	1.343433557
254	1.342870687
255	1.342258767
256	1.341503176
257	1.340934941
258	1.340337227
259	1.3396928
260	1.33855656
261	1.337842475
262	1.336982305
263	1.336403596
264	1.33594662
265	1.334859457
266	1.334283196
267	1.33378702
268	1.333242029
269	1.332323441
270	1.331844955
271	1.331282455
272	1.330426685
273	1.329934885
274	1.328991787
275	1.328558151
276	1.32813007
277	1.327453455
278	1.326806001
279	1.326237425
280	1.325646008
281	1.325037711
282	1.324652169
283	1.324030651
284	1.323355712
285	1.322974185
286	1.322605654
287	1.321666816
288	1.321300401
289	1.320931412
290	1.320174119
291	1.319561346
292	1.319245779
293	1.318668664
294	1.317706021
295	1.317426671
296	1.316979906
297	1.316500988
298	1.315899591
299	1.315479931
300	1.315114959
301	1.314692358
302	1.314401978
303	1.313487503
304	1.312861167
305	1.312401431
306	1.311998431
307	1.31130234
308	1.311067646
309	1.310503434
310	1.310142087
311	1.309385913
312	1.308662881
313	1.308279372
314	1.307776686
315	1.307387573
316	1.306739518
317	1.306301998
318	1.305831041
319	1.305280913
320	1.304904791
321	1.304530722
322	1.304030066
323	1.303588794
324	1.303154146
325	1.30285251
326	1.302499496
327	1.302007664
328	1.301656092
329	1.30125299
330	1.300749896
331	1.30017806
332	1.299869227
333	1.299344478
334	1.298838478
335	1.298549562
336	1.298235167
337	1.29776317
338	1.297285107
339	1.296988489
340	1.296604991
341	1.296325269
342	1.295799097
343	1.29557428
344	1.295046656
345	1.294819437
346	1.294408593
347	1.29410478
348	1.293561251
349	1.29318699
350	1.292850971
351	1.29256806
352	1.2921842
353	1.291887074
354	1.291592652
355	1.291124034
356	1.290950369
357	1.290665902
358	1.290188203
359	1.289731508
360	1.28944285
361	1.289066223
362	1.288723054
363	1.288247492
364	1.288072988
365	1.287665641
366	1.287215051
367	1.286751866
368	1.285959391
369	1.285235231
370	1.284856362
371	1.284409559
372	1.283956078
373	1.283682268
374	1.283154789
375	1.282512809
376	1.282051591
377	1.281681185
378	1.281283909
379	1.280825974
380	1.280370425
381	1.279656436
382	1.278989388
383	1.278749381
384	1.27841227
385	1.277996214
386	1.277498391
387	1.27708615
388	1.276842734
389	1.276564119
390	1.276224013
391	1.275913343
392	1.275571979
393	1.275287434
394	1.275014548
395	1.274685261
396	1.274273106
397	1.273893686
398	1.273598294
399	1.273346818
400	1.273086227
401	1.272820092
402	1.272257475
403	1.271810309
404	1.271494167
405	1.271028357
406	1.270705172
407	1.270259788
408	1.269991647
409	1.26980136
410	1.269450985
411	1.269157176
412	1.268918723
413	1.268533213
414	1.268359315
415	1.268046162
416	1.267503987
417	1.267177066
418	1.266979439
419	1.266642527
420	1.266335873
421	1.26600564
422	1.265812975
423	1.265518008
424	1.265163145
425	1.264841147
426	1.264569807
427	1.264225334
428	1.263998815
429	1.263652212
430	1.263115019
431	1.262708942
432	1.262442805
433	1.262259496
434	1.261930066
435	1.261583429
436	1.261303257
437	1.261131765
438	1.260732774
439	1.260447058
440	1.260301579
441	1.259933912
442	1.259563435
443	1.259249676
444	1.259093623
445	1.258797617
446	1.25856602
447	1.258360831
448	1.257952311
449	1.257749276
450	1.257536272
451	1.25724408
452	1.256841262
453	1.256545702
454	1.256211837
455	1.255869432
456	1.255580751
457	1.255220432
458	1.254900682
459	1.254635082
460	1.254358106
461	1.254202406
462	1.253966754
463	1.253583899
464	1.253404481
465	1.253158665
466	1.252893896
467	1.252636152
468	1.252411821
469	1.252219321
470	1.252039829
471	1.25179165
472	1.251435007
473	1.251262903
474	1.250920406
475	1.250539151
476	1.250310626
477	1.250099539
478	1.249786942
479	1.249581104
480	1.249437934
481	1.249130832
482	1.24894596
483	1.248709083
484	1.24842268
485	1.248123259
486	1.247907882
487	1.247528306
488	1.247358708
489	1.24709463
490	1.2469022
491	1.246634946
492	1.246405719
493	1.24611927
494	1.245926929
495	1.24558039
496	1.245343481
497	1.245083191
498	1.244858155
499	1.244616818
