iter	Passed	Remaining
0	542	270576
1	1093	272362
2	1701	281833
3	2244	278370
4	2847	281907
5	3429	282337
6	4039	284477
7	4709	289635
8	5420	295728
9	6125	300151
10	6674	296692
11	7206	293047
12	7786	291681
13	8329	289165
14	8890	287451
15	9413	284765
16	9950	282705
17	10476	280549
18	11086	280653
19	11658	279794
20	12261	279670
21	12847	279142
22	13406	278039
23	13991	277501
24	14576	276960
25	15117	275606
26	15669	274505
27	16228	273566
28	16807	272978
29	17345	271745
30	17926	271209
31	18507	270666
32	19080	270012
33	19657	269428
34	20217	268600
35	20774	267757
36	21333	266953
37	21939	266735
38	22491	265863
39	23051	265096
40	23618	264408
41	24163	263492
42	24722	262749
43	25297	262172
44	25889	261775
45	26451	261062
46	27024	260467
47	27555	259483
48	28125	258869
49	28667	258004
50	29246	257482
51	29805	256788
52	30352	255988
53	30932	255479
54	31522	255044
55	32059	254182
56	32642	253697
57	33214	253121
58	33782	252512
59	34370	252051
60	34951	251535
61	35510	250865
62	36072	250214
63	36627	249525
64	37203	248975
65	37758	248292
66	38352	247862
67	38925	247290
68	39506	246772
69	40091	246277
70	40655	245650
71	41220	245030
72	41819	244613
73	42392	244043
74	42968	243490
75	43523	242813
76	44095	242237
77	44624	241428
78	45190	240827
79	45738	240126
80	46288	239441
81	46851	238827
82	47413	238209
83	47979	237613
84	48536	236974
85	49092	236328
86	49662	235753
87	50177	234923
88	50727	234260
89	51266	233548
90	51835	232975
91	52458	232640
92	53032	232087
93	53626	231619
94	54173	230950
95	54753	230421
96	55258	229580
97	55793	228865
98	56335	228187
99	56881	227524
100	57430	226880
101	57970	226198
102	58534	225613
103	59097	225026
104	59644	224375
105	60233	223887
106	60824	223401
107	61422	222940
108	61991	222373
109	62509	221623
110	63077	221056
111	63584	220276
112	64117	219587
113	64617	218793
114	65206	218298
115	65773	217734
116	66346	217184
117	66921	216644
118	67451	215957
119	68019	215394
120	68530	214654
121	69088	214059
122	69596	213315
123	70134	212665
124	70664	211994
125	71221	211402
126	71773	210799
127	72327	210202
128	72902	209665
129	73454	209064
130	73990	208415
131	74540	207809
132	75117	207279
133	75635	206587
134	76215	206065
135	76753	205428
136	77315	204856
137	77870	204269
138	78438	203715
139	78973	203074
140	79523	202474
141	80092	201922
142	80611	201247
143	81204	200755
144	81729	200095
145	82247	199422
146	82812	198863
147	83365	198275
148	83915	197680
149	84465	197086
150	85017	196497
151	85542	195846
152	86095	195262
153	86623	194622
154	87204	194100
155	87738	193474
156	88299	192909
157	88863	192350
158	89403	191739
159	89957	191160
160	90492	190539
161	91042	189953
162	91562	189304
163	92097	188688
164	92680	188170
165	93251	187627
166	93829	187097
167	94365	186484
168	94921	185911
169	95475	185334
170	96055	184807
171	96577	184171
172	97155	183641
173	97675	183001
174	98214	182398
175	98755	181799
176	99291	181192
177	99862	180650
178	100402	180051
179	100958	179481
180	101501	178890
181	102086	178371
182	102660	177833
183	103211	177253
184	103733	176627
185	104281	176044
186	104811	175432
187	105376	174880
188	105941	174327
189	106487	173742
190	107050	173186
191	107576	172571
192	108126	171993
193	108653	171381
194	109237	170858
195	109793	170291
196	110370	169757
197	110932	169200
198	111454	168582
199	112051	168077
200	112606	167508
201	113124	166886
202	113650	166276
203	114219	165730
204	114885	165322
205	115434	164745
206	115992	164182
207	116517	163572
208	117064	162993
209	117586	162381
210	118162	161843
211	118677	161222
212	119222	160642
213	119756	160047
214	120283	159445
215	120828	158867
216	121363	158275
217	121955	157759
218	122523	157210
219	123091	156662
220	123648	156099
221	124195	155523
222	124728	154931
223	125276	154358
224	125854	153821
225	126409	153257
226	127000	152735
227	127542	152156
228	128101	151596
229	128639	151011
230	129212	150468
231	129783	149921
232	130333	149352
233	130878	148775
234	131404	148179
235	131971	147628
236	132512	147049
237	133076	146495
238	133595	145893
239	134157	145337
240	134741	144804
241	135299	144245
242	135862	143689
243	136404	143112
244	136971	142561
245	137486	141957
246	138077	141431
247	138598	140834
248	139152	140270
249	139683	139683
250	140252	139135
251	140798	138563
252	141373	138020
253	141915	137445
254	142464	136877
255	143030	136325
256	143547	135728
257	144104	135167
258	144635	134583
259	145153	133987
260	145665	133386
261	146204	132811
262	146738	132231
263	147281	131660
264	147795	131064
265	148354	130507
266	148893	129932
267	149425	129353
268	149973	128787
269	150512	128214
270	151073	127659
271	151612	127086
272	152173	126532
273	152715	125962
274	153281	125412
275	153845	124859
276	154417	124314
277	154994	123772
278	155510	123181
279	156080	122634
280	156659	122094
281	157217	121536
282	157782	120984
283	158332	120422
284	158871	119850
285	159420	119286
286	159977	118728
287	160501	118147
288	161044	117579
289	161558	116990
290	162153	116460
291	162678	115880
292	163242	115328
293	163761	114744
294	164318	114187
295	164876	113631
296	165423	113067
297	165955	112492
298	166471	111909
299	167020	111346
300	167552	110773
301	168107	110216
302	168645	109647
303	169237	109113
304	169797	108559
305	170335	107990
306	170890	107432
307	171465	106887
308	172044	106344
309	172562	105763
310	173136	105217
